Student_ID,Age,Gender,Department,City,Attendance_Percentage,Study_Hours_Per_Day,Assignment_Score,Midterm_Score,Final_Exam_Score,Lab_Score,Projects_Completed,Internet_Usage_Hours,Sleep_Hours,Extracurricular_Hours,Overall_Performance
STU1001,19,Male,Electronics,Tumakuru,74.5,4.0,97.0,70.1,81.0,79.7,2,3.8,4.7,2.2,80.6
STU1002,20,Male,Mechanical,Bengaluru,83.5,4.7,91.9,74.5,79.2,82.3,3,3.9,9.4,3.0,81.5
STU1003,18,Male,Computer Science,Mandya,85.1,3.5,84.1,66.6,83.3,90.6,4,2.9,5.1,2.9,80.6
STU1004,23,Male,Computer Science,Tumakuru,90.7,4.5,85.0,76.2,100.0,79.8,2,3.9,4.0,0.7,87.1
STU1005,23,Male,Electronics,Tumakuru,84.7,6.6,89.6,100.0,99.4,78.2,0,4.7,6.9,1.2,92.9
STU1006,23,Female,Computer Science,Mandya,90.0,4.0,86.0,81.0,92.9,70.1,1,4.1,6.3,3.2,84.8
STU1007,22,Male,Civil,Kolar,62.7,5.5,67.7,58.2,77.8,83.1,2,4.6,7.3,2.2,70.2
STU1008,22,Female,Mechanical,Kolar,91.8,4.4,75.6,94.1,75.7,94.5,0,6.1,7.4,0.0,84.7
STU1009,21,Female,Biotechnology,Mandya,89.8,3.3,89.4,61.2,83.7,79.7,1,3.2,7.0,1.8,79.2
STU1010,23,Male,Computer Science,Kolar,78.4,5.5,75.1,71.9,77.6,76.0,3,2.2,7.7,2.5,75.5
STU1011,22,Male,Computer Science,Chikkaballapur,64.6,3.8,68.7,64.2,76.5,69.3,5,1.8,6.4,3.2,69.6
STU1012,22,Male,Computer Science,Mysuru,100.0,6.1,80.8,98.5,94.0,81.8,5,5.2,8.2,0.3,91.3
STU1013,20,Male,Computer Science,Chikkaballapur,72.6,3.9,84.5,59.9,73.9,68.4,2,1.8,7.9,1.3,71.6
STU1014,23,Female,Biotechnology,Mandya,91.5,8.0,95.7,86.4,99.8,100.0,3,5.0,8.5,2.5,94.8
STU1015,21,Female,Civil,Bengaluru,75.9,6.3,84.2,74.1,89.0,90.5,2,6.3,7.3,1.5,83.2
STU1016,18,Male,Electronics,Bengaluru,85.4,1.0,76.0,63.6,75.7,64.3,0,5.4,5.6,2.9,72.0
STU1017,19,Male,Civil,Mysuru,60.7,3.5,71.5,67.6,89.8,63.7,0,4.3,7.7,2.3,73.8
STU1018,18,Male,Biotechnology,Tumakuru,81.3,2.8,68.8,65.0,64.9,78.4,2,1.2,6.0,2.6,69.4
STU1019,22,Female,Electronics,Chikkaballapur,90.5,5.4,82.8,83.4,98.5,90.7,5,4.8,5.0,1.2,89.6
STU1020,19,Male,Computer Science,Mysuru,66.3,5.5,68.6,72.5,76.5,89.3,3,4.5,5.6,0.0,74.8
STU1021,18,Male,Mechanical,Bengaluru,83.7,1.0,82.8,72.8,71.9,64.4,2,1.6,6.5,1.2,74.4
STU1022,19,Male,Computer Science,Chikkaballapur,86.3,4.6,88.8,76.2,83.5,85.0,5,6.0,7.3,2.0,83.2
STU1023,22,Female,Computer Science,Kolar,100.0,7.2,79.0,100.0,89.2,99.8,2,3.8,6.5,3.3,92.5
STU1024,21,Female,Biotechnology,Mysuru,66.2,4.8,75.7,77.6,67.4,68.2,5,5.7,6.9,1.2,71.6
STU1025,18,Female,Civil,Chikkaballapur,86.8,6.3,81.7,79.3,88.5,88.4,4,4.0,7.1,1.3,84.7
STU1026,22,Female,Mechanical,Hassan,63.1,4.0,79.0,66.1,74.9,70.1,4,4.3,5.7,1.8,71.6
STU1027,19,Male,Electronics,Tumakuru,85.0,2.0,78.1,67.4,72.0,71.6,2,3.7,6.4,1.4,73.3
STU1028,20,Female,Civil,Chikkaballapur,81.2,4.3,80.1,76.7,63.5,69.3,3,5.5,5.6,1.4,72.8
STU1029,19,Male,Biotechnology,Mandya,75.5,2.7,80.8,74.5,76.6,69.7,1,2.4,6.1,2.9,75.8
